comp.no,outcome.no,method,sm,model,common,random,outclab,k,event.e.pooled,n.e.pooled,event.c.pooled,n.c.pooled,TE.pooled,lower.pooled,upper.pooled,level.ma,weight.pooled,Z.pooled,pval.TE.pooled,cd,cd_num,meta_id,total_n,cer,first_check,mh_te,mh_lower,mh_upper,mh_tau2,mh_I2,mhe_te,mhe_lower,mhe_upper,mhe_tau2,mhe_I2,ivf_te,ivf_lower,ivf_upper,ivf_tau2,ivf_I2,ivr_te,ivr_lower,ivr_upper,ivr_tau2,ivr_I2,ivrTACC_te,ivrTACC_lower,ivrTACC_upper,ivrTACC_tau2,ivrTACC_I2,peto_te,peto_lower,peto_upper,peto_tau2,peto_I2,log_te,log_lower,log_upper,log_tau2,log_I2,bayesf_te,bayesf_lower,bayesf_upper,bayesr_te,bayesr_lower,bayesr_upper,ROR_mh,ROR_mhe,ROR_log,ROR_TACC,ROR_peto,ROR_bayesf,ROR_bayesr
2,7,MH,RR,Random,FALSE,TRUE,2.7 Maternal adverse effect: hyperthyroidism - postpartum,2,4,258,14,285,0.3241629207401121,0.11484449730216742,0.914990283829446,0.95,100,2.1277699916269683,0.03335615855237282,CD011761,5816,58160207,543,0.04912280701754386,0,0.30017701171685873,0.10200939909000147,0.8833130982740489,1,1,0.27804716127646556,0.08949390765967034,0.8638601879794778,1,1,0.30411774017362675,0.10288673540094671,0.898926373044027,1,1,0.30411774017362675,0.10288673540094671,0.898926373044027,1,1,0.30610009384543885,0.10392803240230074,0.9015591394003167,1,1,0.320143275130875,0.1238302601636678,0.827679086485474,1,1,0.2768533351516861,0.08908335784421585,0.8604050300691323,1,1,0.2635869468922376,0.06786014586471015,0.7754998190407006,0.2036737743002906,0.023420184322501123,1.1693249237431196,0.9870420960825298,0.9142747184617478,0.9103491792146855,1.0065183756484588,1.0526951665105067,0.8667266393001298,0.6697201359710527
2,13,MH,RR,Random,FALSE,TRUE,2.13 Spontaneous miscarriage,3,15,308,13,337,1.3136686749411135,0.641630989416194,2.6895917061171577,0.95,100,0.746232661968749,0.4555268868154868,CD011761,5816,58160213,645,0.03857566765578635,0,1.3351745859890418,0.6319931166420171,2.820744606433408,1,1,1.3491318206033465,0.6300416426743375,2.88894661254212,1,1,1.3256889950349606,0.6224193743960252,2.823580665788521,1,1,1.3256889950349606,0.6224193743960252,2.823580665788521,1,1,1.3256889950349606,0.6224193743960252,2.823580665788521,1,1,1.352206889201792,0.6305138525055015,2.899957651903981,1,1,1.3534328913703406,0.6293346825415779,2.9106620725961037,1,1,1.3640006345235196,0.6304458777678462,2.948753370182901,1.5928307236240151,0.43166155891625035,7.3538381360723175,1.0071552158836703,1.0176835031867846,1.0209279072537283,1,1.0200031034927102,1.0288994173083172,1.201511613651141
3,1,MH,RR,Random,FALSE,TRUE,3.1 Maternal hypothyroidism - postpartum,2,1,161,1,179,0.9122074215469332,0.09681420188800488,8.595044566786875,0.95,100,0.0802902432280431,0.9360064179401646,CD011761,5816,58160301,340,0.00558659217877095,0,0.9016861960560161,0.12570889561575263,6.467625001202269,1,1,0.9021442495126706,0.05756537262712487,14.138087009364476,1,1,0.9024662919309511,0.09198627806883537,8.853988063982033,1,1,0.9024662919309511,0.09198627806883537,8.853988063982033,1,1,0.9301202032179546,0.09584245238601749,9.026517695413464,1,1,0.9005382057271338,0.056096638335627634,14.456642751428289,72.48617797218435,1.6759258964097556,0.9000345257347416,0.05205754397981906,15.560898298017955,1.1909714477404845,1,0.9016857134444138,0.022982052831257465,30.28750197812969,0.6307516610556327,0.009672299271166222,18.6591816977628,0.9991355955541942,0.9996431529674183,0.997305421578676,1.030642597440215,0.9978635365984786,0.999135060784523,0.6989199116856238
11,3,MH,RR,Random,FALSE,TRUE,11.3 Residual motor block/muscle weakness 24 hours after surgery,3,9,133,3,132,2.676122425681648,0.8048340789377131,8.898270369824225,0.95,100,1.605781772704633,0.10832186686876846,CD011770,5819,58191103,265,0.022727272727272728,1,2.81811532129085,0.8064440989202327,9.847891471619247,1,1,3.084966088922381,0.81450341311189145,11.684439397792511,1,1,2.812631645218311,0.8039757144354697,9.83972106326406,1,1,2.812631645218311,0.8039757144354697,9.83972106326406,1,1,2.7839912529386783,0.7985180933333571,9.706238795522731,1,1,2.77526275431985,0.8739383623977861,8.813073881301117,1,1,3.0942930434504285,0.8163950608502852,11.727961005513192,1,1,3.19024963534702,0.9093958656151637,17.791200117551398,3.534456898200621,0.6930988178766825,26.553838049601907,1.0019496602343438,1.0968254922990217,1.1001415875807852,0.9898172260387088,0.9867139051208532,1.1342578900335878,1.2566369663832335
11,6,MH,RR,Random,FALSE,TRUE,11.6 Dyspnoea,3,1,107,3,112,0.6271924040039233,0.1051795695730842,3.7399878439974654,0.95,100,0.5120603787745952,0.6086087550384782,CD011770,5819,58191106,219,0.026785714285714284,0,0.5913313189122125,0.12426220322023929,2.8139910581394196,1,1,0.3678637717728032,0.03934821603489297,3.439133160774341,1,1,0.6001859992458773,0.09491503959760497,3.795217651680377,1,1,0.6001859992458773,0.09491503959760497,3.795217651680377,1,1,0.5888635405803018,0.09380103458975277,3.6967638037400734,1,1,0.3891029662754323,0.054433948055608354,2.781373091102497,6.995821256905601,1.4743090337180396,0.3467451432912005,0.03533181932042674,3.4029437687779667,1,1,0.2605573592387119,0.009764723484825185,2.5257159551563566,0.22677919436941113,0.004438044424907882,2.9950835165419574,0.985246772925742,0.6129162830106288,0.5777294767403428,0.9811350836577294,0.648303970376405,0.4341276863607239,0.3778481914845648
11,8,MH,RR,Random,FALSE,TRUE,11.8 Overall non-block-related adverse events,4,8,128,5,130,1.2293866572222771,0.38047393244323735,3.9723918620407663,0.95,100,0.34510951458682965,0.7300120414042934,CD011770,5819,58191108,258,0.038461538461538464,0,1.5975319056474753,0.5256527759405606,4.85512168178912,1,1,1.6606538018573145,0.5236637212115295,5.266301517399131,1,1,1.2906087554176076,0.3691370814482434,4.5123371323889305,1,1,1.2906087554176076,0.3691370814482434,4.5123371323889305,1,1,1.2836410721308038,0.365628216556743,4.506584359321192,1,1,1.639749706396647,0.5352393672113734,5.0235077319453865,1.4380168220240097,1.1689896804272164,1.6710129961963787,0.5149320369901135,5.42262712916192,1.0145313670268927,1,1.768515695256958,0.5299608870528231,6.01690978246195,1.6318782468703268,0.35723951961505357,8.071975014404199,1.2378126980322208,1.2867213203740975,1.2947479158048034,0.9946012428185107,1.270524238669113,1.3702957521659709,1.2644252102119773
11,10,MH,RR,Random,FALSE,TRUE,11.10 Dermatological symptoms,2,4,61,1,63,1.8836206397472015,0.08735626658164947,40.615594659891,0.95,100,0.4041219853271952,0.6861230196384288,CD011770,5819,58191110,124,0.015873015873015872,0,2.577272727272727,0.482963140067147,13.753295354631636,19.449556948604034,1.7179358392233333,4.032902467685076,0.44935759262726976,36.194564375261784,19.449556948604034,1.7179358392233333,2.1528177330202443,0.24055467569310027,19.26640660071508,19.449556948604034,1.7179358392233333,2.003925666826214,0.07820884273254203,51.34608744816498,19.449556948604034,1.7179358392233333,1.9809484041319396,0.06902702537885813,56.84956809734967,26.146857660103347,1.743053765556313,3.38137708033312,0.5569312055978555,20.529844340699583,196.9612265095449,1.9643155097435672,2.84895056666236,0.10547300878776741,76.95352037996591,8.274213601293836,1,5.598517168859869,0.622594507448784,160.34389080892262,3.764945294568403,0.26710546449022365,105.62145987265194,1.2861119401472467,2.0125010295777708,1.4216847529950964,0.988533874746629,1.6873765011895334,2.7937748697668576,1.8787849054956536
20,2,MH,RR,Random,FALSE,TRUE,20.2 Numbness/tingling 14 days after surgery,2,4,116,4,116,0.973714898222939,0.2719293476708225,3.4866435386335466,0.95,100,0.04092819360226265,0.9673531410268288,CD011770,5819,58192002,232,0.034482758620689655,0,0.9118788200903534,0.22692505215353923,3.664306671467724,1,1,0.8944159960985125,0.20245148811995195,3.951465022588071,1,1,0.9452692487846538,0.22404150386032748,3.988251896643905,1,1,0.9452692487846538,0.22404150386032748,3.988251896643905,1,1,0.9425217260907659,0.22289856237454925,3.9854326321781115,1,1,0.8967720792682197,0.20677196611559945,3.889309451676075,1,1,0.8951037458149109,0.20389339768628137,3.9295569393799585,1,1,0.8820874747946188,0.18980274855418375,4.292353826065592,0.6821685845624534,0.06720932591146846,5.410443742625298,0.9646762774339365,0.9462023621824956,0.9469299323613443,0.9970933967254088,0.9486948617245429,0.9331600239071897,0.7216659014767774
20,11,MH,RR,Random,FALSE,TRUE,20.11 Dizziness,2,1,92,3,86,0.4083850333460445,0.06125104531807066,2.722865129811032,0.95,100,0.9251572424849106,0.35488413174524946,CD011770,5819,58192011,178,0.03488372093023256,0,0.3939681035843992,0.056982300683492,2.7238434527943354,1,1,0.3120168067226891,0.031935063773984404,3.0485139584011987,1,1,0.3978878494194375,0.05695646492402902,2.7795745562297802,1,1,0.3978878494194375,0.05695646492402902,2.7795745562297802,1,1,0.40811612915620543,0.05924080511706428,2.811554882623757,1,1,0.34499274504993727,0.04781334717767801,2.4892629602944076,1,1,0.30925465362118426,0.03145131124902445,3.0408411283432626,1,1,0.24567117293709817,0.007687932365429474,2.1781322852663325,0.20351393516853103,0.005811085314997974,2.8801272430682827,0.9901486163984208,0.7841827971825635,0.7772407578477731,1.0257064390171555,0.8670602672419375,0.6174382386784609,0.5114856748339525
1,8,MH,RR,Fixed,TRUE,FALSE,1.8 EEG sedation adverse event: nausea or vomiting,2,10,76,0,84,12.035691922354417,1.5752383874724425,91.9593384733722,0.95,100,2.397944692385472,0.0164873544970717,CD011786,5828,58280108,160,0,1,13.831452493629412,1.7464231657524394,109.54336946229321,1,1,Inf,NA,NA,1,1,13.16773062965009,1.6390925800283889,105.7836098141705,1,1,13.16773062965009,1.6390925800283889,105.7836098141705,1,1,12.385556328762066,1.6087529139352073,95.3546093027412,1,1,9.181894827041429,2.5535801459292093,33.01529139363355,1,1,43918200616.58732,0,Inf,1,1,31250.734989522778,16.5885272263851,2711673742.1324434,355.5136387986979,5.942401908936713,995271.4756589609,1.0504051823846399,Inf,3335290024.668007,0.9405991569172304,0.697302753624557,2373.281764980426,26.99885415321145
1,9,MH,RR,Fixed,TRUE,FALSE,1.9 EEG sedation adverse event: oxygen desaturation,2,2,76,0,84,3.3118346900438325,0.3520225264644184,31.15780437217665,0.95,100,1.0470649356044808,0.2950696452594476,CD011786,5828,58280109,160,0,0,3.4044285249104527,0.34668136818105455,33.431659861140865,1,1,Inf,NA,NA,1,1,3.404750478631226,0.3467217793943999,33.43408609054571,1,1,3.404750478631226,0.3467217793943999,33.43408609054571,1,1,3.1919345515964532,0.33687581315217535,30.243923083527726,1,1,8.233223322170646,0.5126542496408003,132.22550348549728,1,1,8406978358.7118845,0,Inf,1,1,511090.73952967394,2.4435260748619707,736729476197236.5,77.05494310768314,0.7334525381367214,464260.4204235447,0.9999054398485897,Inf,2469190741.428913,0.9374944130647926,2.418157622370188,150111.07061658805,22.631597701885244
3,8,MH,RR,Fixed,TRUE,FALSE,3.8 Neuroimaging adverse event: vomiting,2,5,41,1,52,5.285714285714286,0.8430506692569417,33.140090541448835,0.95,100,1.7776822404130563,0.07545605811048668,CD011786,5828,58280308,93,0.019230769230769232,0,6.0555967383246845,0.8752448662412123,41.89713447242597,1,1,10.166666666666668,0.9263905950500251,111.57400740400396,1,1,5.759242129312263,0.8329932506116153,39.81889394624914,1,1,5.759242129312263,0.8329932506116153,39.81889394624914,1,1,5.759242129312263,0.8329932506116153,39.81889394624914,1,1,6.375313593709168,1.1797470740029687,34.45198069466084,1,1,8.64087113996458,0.9243492988464846,80.775367223893,1,1,11.207982175515896,1.438213699416461,485.4977663048611,11.7277504696855,0.9964620942105789,366.28798429527825,1.0514572234259947,1.7652785624209753,1.5003486476086785,1,1.1069709261330316,1.9460862946656998,2.0363357202844266
1,1,MH,RR,Fixed,TRUE,FALSE,1.1 Mortality,5,6,254,6,257,1.012808853975195,0.36431946394957376,2.8156106829157177,0.95,100,0.0243977009793859,0.9805353821319922,CD011793,5832,58320101,511,0.023346303501945526,1,1.0134339331397186,0.34677816166764297,2.961686894872513,1,1,1.0135403348554033,0.31779094418793546,3.232515051691652,1,1,1.0127903035035657,0.3223004193313805,3.1825717167814243,1,1,1.0127903035035657,0.3223004193313805,3.1825717167814243,1,1,1.0118479285403779,0.32180259542508455,3.181566106199419,1,1,1.0133900681731107,0.3197868624350895,3.211387179735548,1,1,1.0136047590487958,0.3169448084642199,3.241556826706472,1,1,0.9887129682602477,0.30778654376880166,3.3559540786680517,0.9187794606024751,0.2165692537361238,4.05462505200991,1.0006355013806179,1.0007405593726983,1.00080416996728,0.9990695260806429,1.000592190374918,0.9762267320687937,0.9071763991263768
